================================================================
        قائمة المنتجات - تطبيق نقطة البيع
        العملة: دينار جزائري (دج)
================================================================
الفئة | رمز | اسم المنتج | سعر الشراء (دج) | سعر البيع (دج) | الوحدة
================================================================

# =================== مواد غذائية أساسية ===================
مواد غذائية|ART001|دقيق مطحون ممتاز - قنطارة 5 كغ|280|320|كيس
مواد غذائية|ART002|دقيق مطحون عادي - غليزان 5 كغ|260|300|كيس
مواد غذائية|ART003|سميد خشن - الحضنة 1 كغ|65|80|كيس
مواد غذائية|ART004|سميد ناعم - الحضنة 1 كغ|65|80|كيس
مواد غذائية|ART005|زيت سفينة 1 لتر|195|225|قارورة
مواد غذائية|ART006|زيت سفينة 5 لتر|950|1100|قارورة
مواد غذائية|ART007|زيت زيتون - بجاية 1 لتر|650|780|قارورة
مواد غذائية|ART008|سكر أبيض حبة 1 كغ|95|115|كيس
مواد غذائية|ART009|سكر أبيض حبة 5 كغ|460|550|كيس
مواد غذائية|ART010|شعيرية - بورج بوعريريج 500 غ|75|95|علبة
مواد غذائية|ART011|معكرونة حلزون - ليزي 500 غ|80|100|علبة
مواد غذائية|ART012|معكرونة ريشة - ليزي 500 غ|80|100|علبة
مواد غذائية|ART013|كسكس متوسط - الزيتونة 1 كغ|140|170|كيس
مواد غذائية|ART014|كسكس خشن - الزيتونة 1 كغ|140|170|كيس
مواد غذائية|ART015|أرز مصري 1 كغ|185|220|كيس
مواد غذائية|ART016|أرز هندي بسمتي 1 كغ|280|340|كيس
مواد غذائية|ART017|عدس أصفر 1 كغ|195|240|كيس
مواد غذائية|ART018|حمص حب 1 كغ|210|260|كيس
مواد غذائية|ART019|فول مدمس 800 غ|165|200|علبة
مواد غذائية|ART020|ملح طعام - جيجل 1 كغ|35|50|كيس

# =================== مشروبات ===================
مشروبات|ART021|مياه معدنية ليلى 1.5 لتر|35|50|قارورة
مشروبات|ART022|مياه معدنية ليلى 0.5 لتر|20|30|قارورة
مشروبات|ART023|مياه معدنية سيدي الدشيش 1.5 لتر|38|55|قارورة
مشروبات|ART024|مياه معدنية تالة 1.5 لتر|36|52|قارورة
مشروبات|ART025|مياه معدنية أميزور 1.5 لتر|40|58|قارورة
مشروبات|ART026|مشروب كوكاكولا 1.25 لتر|145|175|قارورة
مشروبات|ART027|مشروب بيبسي 1.25 لتر|140|170|قارورة
مشروبات|ART028|مشروب سبرايت 1.25 لتر|140|170|قارورة
مشروبات|ART029|مشروب 7UP 1.25 لتر|140|170|قارورة
مشروبات|ART030|عصير هاناء برتقال 1 لتر|115|145|قارورة
مشروبات|ART031|عصير هاناء مشمش 1 لتر|115|145|قارورة
مشروبات|ART032|عصير نارنجينا 0.33 لتر|65|85|علبة
مشروبات|ART033|حليب سائل - جيجل 1 لتر|95|115|قارورة
مشروبات|ART034|حليب UHT - فلفل 1 لتر|110|135|قارورة
مشروبات|ART035|حليب مكثف محلى - عين وارة 397 غ|145|175|علبة
مشروبات|ART036|شاي أخضر - الشروق 100 غ|185|225|علبة
مشروبات|ART037|شاي أحمر - القصبة 100 غ|175|215|علبة
مشروبات|ART038|قهوة مطحونة - المعلم 250 غ|420|500|علبة
